Unnamed: 0,ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,total_spent,total_purchases,ROI,Total_Conversions,Conversion_Rate,CPA,Total_Leads,Max_Leads_Source,Total_Purchases,Total_Spent
0,5524,1957,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,1617,22,266.66666666666663,0,0.0,0.0,22,NumCatalogPurchases,22,1617
1,2174,1954,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,27,4,266.66666666666663,0,0.0,0.0,4,NumStorePurchases,4,27
2,4141,1965,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,776,20,266.66666666666663,0,0.0,0.0,20,NumStorePurchases,20,776
3,6182,1984,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,53,6,266.66666666666663,0,0.0,0.0,6,NumStorePurchases,6,53
4,5324,1981,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,422,14,266.66666666666663,0,0.0,0.0,14,NumStorePurchases,14,422
5,7446,1967,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,716,20,266.66666666666663,0,0.0,0.0,20,NumStorePurchases,20,716
6,965,1971,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,590,17,266.66666666666663,0,0.0,0.0,17,NumWebPurchases,17,590
7,6177,1985,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,169,8,266.66666666666663,0,0.0,0.0,8,NumWebPurchases,8,169
8,4855,1974,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,False,False,False,False,True,False,False,False,False,False,True,False,False,46,5,266.66666666666663,0,0.0,0.0,5,NumWebPurchases,5,46
9,5899,1950,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,False,False,True,False,False,49,1,266.66666666666663,1,1.0,3.0,1,NumWebPurchases,1,49
10,1994,1983,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,19,3,266.66666666666663,0,0.0,0.0,3,NumStorePurchases,3,19
11,387,1976,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,False,True,False,False,False,False,False,False,True,False,False,False,False,61,5,266.66666666666663,0,0.0,0.0,5,NumStorePurchases,5,61
12,2125,1959,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,1102,15,266.66666666666663,0,0.0,0.0,15,NumStorePurchases,15,1102
13,8180,1952,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,True,False,False,False,False,False,310,12,266.66666666666663,0,0.0,0.0,12,NumWebPurchases,12,310
14,2569,1987,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,46,4,266.66666666666663,0,0.0,0.0,4,NumStorePurchases,4,46
15,2114,1946,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,False,False,False,False,True,False,False,False,False,True,False,False,False,1315,25,266.66666666666663,2,1.0,1.5,25,NumStorePurchases,25,1315
16,9736,1980,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,96,6,266.66666666666663,0,0.0,0.0,6,NumWebPurchases,6,96
17,4939,1946,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,317,11,266.66666666666663,0,0.0,0.0,11,NumStorePurchases,11,317
18,6565,1949,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,False,False,False,True,False,False,False,False,True,False,False,False,False,1782,24,266.66666666666663,1,1.0,3.0,24,NumWebPurchases,24,1782
19,2278,1985,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,True,False,False,False,False,False,False,False,False,True,False,False,False,133,6,266.66666666666663,0,0.0,0.0,6,NumStorePurchases,6,133
20,9360,1982,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,316,11,266.66666666666663,0,0.0,0.0,11,NumStorePurchases,11,316
21,5376,1979,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,1730,28,266.66666666666663,0,0.0,0.0,28,NumCatalogPurchases,28,1730
22,1993,1949,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,972,14,266.66666666666663,1,1.0,3.0,14,NumStorePurchases,14,972
23,4047,1954,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,544,17,266.66666666666663,0,0.0,0.0,17,NumStorePurchases,17,544
24,1409,1951,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,444,13,266.66666666666663,0,0.0,0.0,13,NumWebPurchases,13,444
25,7892,1969,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,75,6,266.66666666666663,0,0.0,0.0,6,NumStorePurchases,6,75
26,2404,1976,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,257,10,266.66666666666663,0,0.0,0.0,10,NumWebPurchases,10,257
27,5255,1986,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,637,27,266.66666666666663,0,0.0,0.0,27,NumWebPurchases,27,637
28,9422,1989,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,131,7,266.66666666666663,0,0.0,0.0,7,NumStorePurchases,7,131
29,1966,1965,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,1672,25,266.66666666666663,1,1.0,3.0,25,NumStorePurchases,25,1672
30,6864,1989,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,True,False,False,False,False,False,30,6,266.66666666666663,0,0.0,0.0,6,NumWebPurchases,6,30
